method,n_stations,gini,cv,max_share_pct,top10pct_share_pct
Mevcut karakollar,66,0.43913614912098764,0.7870433597780978,5.156182802883599,23.978543087550328
p-Median,66,0.20649635905522526,0.42242981592805096,4.682872130797023,18.069509608352423
K-Means (ağırlıklı),66,0.250135346795931,0.5028340399683522,5.59614548228851,18.40359696672976
En yoğun p hücre,66,0.45179242745628934,0.8702104936589375,5.636782653698408,27.335574350837888
