scheme,lat,lon
Tekdüze (sayım),52.45802210759288,-2.1548994729149498
Tekdüze (sayım),52.5937584124531,-2.154438012152554
Tekdüze (sayım),52.50255233452003,-2.1389935765455403
Tekdüze (sayım),52.56748975438711,-2.1413327957246007
Tekdüze (sayım),52.477197999325746,-2.1254881902520792
Tekdüze (sayım),52.58519210666001,-2.1263076618443693
Tekdüze (sayım),52.62042110211827,-2.1280343256704795
Tekdüze (sayım),52.45642543660705,-2.112841087722032
Tekdüze (sayım),52.538408926353,-2.1148943346310465
Tekdüze (sayım),52.51143452291971,-2.096106208264669
Tekdüze (sayım),52.60082846142807,-2.0971891381726024
Tekdüze (sayım),52.47634022061677,-2.0829041046093812
Tekdüze (sayım),52.565460269778086,-2.0814298318779634
Tekdüze (sayım),52.51178983377992,-2.067475312167289
Tekdüze (sayım),52.53918907661163,-2.0653832851592115
Tekdüze (sayım),52.44934878210339,-2.053453713257489
Tekdüze (sayım),52.5843232487381,-2.054024890001102
Tekdüze (sayım),52.611802087520005,-2.057123954586456
Tekdüze (sayım),52.47586605528618,-2.0391837774691863
Tekdüze (sayım),52.52971503089532,-2.037018927241667
Tekdüze (sayım),52.49335575029284,-2.024318942994011
Tekdüze (sayım),52.56663382507048,-2.0242313688772318
Tekdüze (sayım),52.395776090384594,-2.0084258971304
Tekdüze (sayım),52.61880133262757,-2.0075745064999726
Tekdüze (sayım),52.457970857052075,-1.995219271366437
Tekdüze (sayım),52.51993606811643,-1.9946910311439425
Tekdüze (sayım),52.54835057071144,-1.9933246188005207
Tekdüze (sayım),52.60281666593312,-1.9925200086474302
Tekdüze (sayım),52.40348726806765,-1.9786948369065256
Tekdüze (sayım),52.431013450881906,-1.9797761153499942
Tekdüze (sayım),52.495051543982555,-1.978417070908401
Tekdüze (sayım),52.58467242775047,-1.9809182473466984
Tekdüze (sayım),52.47581850151449,-1.9659092585321232
Tekdüze (sayım),52.48591581346259,-1.948827398698809
Tekdüze (sayım),52.40483051847434,-1.9326684092396338
Tekdüze (sayım),52.44103887105363,-1.9356991443100282
Tekdüze (sayım),52.503538279728616,-1.9355407692604927
Tekdüze (sayım),52.53858769400235,-1.9344032317035107
Tekdüze (sayım),52.6282533672078,-1.9326084897776183
Tekdüze (sayım),52.47554710431989,-1.9180202831259903
Tekdüze (sayım),52.49440587326065,-1.9059281174509453
Tekdüze (sayım),52.43284291848408,-1.8923965853357314
Tekdüze (sayım),52.476721758875655,-1.8939772052913117
Tekdüze (sayım),52.51167864661755,-1.8909090012561465
Tekdüze (sayım),52.41257002572994,-1.8746358634977194
Tekdüze (sayım),52.4498782740284,-1.8762033331166794
Tekdüze (sayım),52.4670722103219,-1.877391988354545
Tekdüze (sayım),52.548452205261704,-1.8763355923382896
Tekdüze (sayım),52.49289896875787,-1.8577246305688127
Tekdüze (sayım),52.47633390189027,-1.8470995462548938
Tekdüze (sayım),52.52162441291327,-1.8454257614005836
Tekdüze (sayım),52.42183941607893,-1.8329276695699386
Tekdüze (sayım),52.449235058299315,-1.832766097294439
Tekdüze (sayım),52.395748308345496,-1.8162148566189866
Tekdüze (sayım),52.46752270878546,-1.8172191491756773
Tekdüze (sayım),52.49459918752851,-1.8183480937773755
Tekdüze (sayım),52.56595409016156,-1.8168668581212641
Tekdüze (sayım),52.52047703580967,-1.8016404709741434
Tekdüze (sayım),52.450365941639156,-1.7863814278974188
Tekdüze (sayım),52.476654623591955,-1.787848158514331
Tekdüze (sayım),52.41363378522334,-1.7782275441873234
Tekdüze (sayım),52.50234515849317,-1.7583438706835852
Tekdüze (sayım),52.378276837576244,-1.745338303094019
Tekdüze (sayım),52.476991019775404,-1.7419528593799427
Tekdüze (sayım),52.45054276036598,-1.7298480854681293
Tekdüze (sayım),52.40447782762583,-1.5824176895679947
CHI-karekök,52.45802210759288,-2.1548994729149498
CHI-karekök,52.5937584124531,-2.154438012152554
CHI-karekök,52.56748975438711,-2.1413327957246007
CHI-karekök,52.477197999325746,-2.1254881902520792
CHI-karekök,52.50025074729737,-2.125255251663436
CHI-karekök,52.58519210666001,-2.1263076618443693
CHI-karekök,52.45642543660705,-2.112841087722032
