method,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,ci95_km
Mevcut karakollar,1.5882039005014623,7.47568941116333,1.803436517715454,34.99437518374805,69.80196516258513,87.74512900631485,99.77713336038428,
p-Median,1.0509476546950292,8.761364936828613,1.3436311483383179,50.031343468531404,95.6196895295807,99.15615607589493,99.8548846001521,
K-Means (ağırlıklı),1.0577806451694831,5.888723850250244,1.3065910339355469,47.78986026644378,96.66884532119767,99.63390099837451,99.98244522789618,
En yoğun p hücre,1.980405446997856,17.46880531311035,2.638855457305908,42.671459706634856,61.42584839966081,78.47183582825723,93.9499209124108,
Rastgele (100 tekrar),1.7691486043357392,,,,,89.10581275557682,,"[1.583, 1.967]"
