scheme,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,jaccard_vs_chi,chi_metric_degradation_pct
CHI (ana),1.0509476546950292,8.761364936828613,1.3436311483383179,50.031343468531404,95.6196895295807,99.15615607589493,99.8548846001521,1.0,0.0
Tekdüze (sayım),1.0556399492573771,6.229370594024658,1.3345578908920288,49.8852561781864,94.81004400234225,99.089824549468,99.90214277557348,0.2692307692307692,0.44648223357133254
CHI-karekök,1.0495702790639865,6.456122398376465,1.336459994316101,50.53289970818988,95.49759578588281,98.90771656757433,99.90098865560817,0.5348837209302325,-0.1310603458592241
