scheme,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,jaccard_vs_chi,chi_metric_degradation_pct
CHI (ana),0.9363719184150828,19.023653030395508,1.408679485321045,61.090380380184186,95.6755435804771,99.3833881789517,99.82065878963762,1.0,0.0
Tekdüze (sayım),0.9385038797155981,19.023653030395508,1.4107940196990967,60.4905746300058,95.6594047481529,99.43172127110611,99.87378765883926,0.41626794258373206,0.2276831735966489
CHI-karekök,0.9393213732416978,18.564661026000977,1.4047949314117432,60.189941962757246,95.93384830248259,99.47794839160063,99.85556370605974,0.48,0.31498753525280865
