method,weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,ci95_km
Mevcut karakollar,1.3107488865453139,15.21850299835205,1.7699620723724365,44.579583417954474,80.83628343125754,93.85089637243254,99.63203879324905,
p-Median,0.9363719184150828,19.023653030395508,1.408679485321045,61.090380380184186,95.6755435804771,99.3833881789517,99.82065878963762,
K-Means (ağırlıklı),0.9511804622507342,18.672229766845703,1.3656835556030273,57.69509533796258,97.59550164453451,99.7606073205243,99.93684170140826,
En yoğun p hücre,1.801988480596292,28.39280891418457,3.2848198413848877,51.92502490676384,67.65769661747589,79.16614364895246,91.88746354688163,
Rastgele (100 tekrar),1.813763292370919,,,,,88.03123176822801,,"[1.599, 2.103]"
