scheme,lat,lon
Tekdüze (sayım),51.469666710263155,-0.4936701273795706
Tekdüze (sayım),51.54732620591261,-0.479576309393811
Tekdüze (sayım),51.513251450529395,-0.46928029460313264
Tekdüze (sayım),51.47081702332938,-0.4546818144270614
Tekdüze (sayım),51.52876701173626,-0.44028081954183723
Tekdüze (sayım),51.50377230756469,-0.4213515502883805
Tekdüze (sayım),51.59466069327342,-0.4157343362354532
Tekdüze (sayım),51.44849245607652,-0.4101943720064979
Tekdüze (sayım),51.47484946209772,-0.39546611257755226
Tekdüze (sayım),51.5215470677656,-0.39452461319399346
Tekdüze (sayım),51.50306009004226,-0.3815036051907732
Tekdüze (sayım),51.5652867164595,-0.376791343240278
Tekdüze (sayım),51.43156630167188,-0.3719130110353853
Tekdüze (sayım),51.46791613079437,-0.3658431819937046
Tekdüze (sayım),51.537953659291766,-0.36441715152697585
Tekdüze (sayım),51.51059245368927,-0.33598663253940486
Tekdüze (sayım),51.5820304760316,-0.3350816647099176
Tekdüze (sayım),51.601279525254206,-0.33539524839307333
Tekdüze (sayım),51.44825048259581,-0.32795756705550705
Tekdüze (sayım),51.483983091358205,-0.3092359423063022
Tekdüze (sayım),51.512871734555446,-0.30569214048682103
Tekdüze (sayım),51.55420692523405,-0.3045641360036041
Tekdüze (sayım),51.376316479596234,-0.2993283436103523
Tekdüze (sayım),51.41146583005944,-0.3004630247833539
Tekdüze (sayım),51.464503569036914,-0.29713203874402866
Tekdüze (sayım),51.53859613725544,-0.2939245126762774
Tekdüze (sayım),51.59322835360016,-0.2899679503352887
Tekdüze (sayım),51.56345761209947,-0.27797750343077193
Tekdüze (sayım),51.61021069134653,-0.27639943770168884
Tekdüze (sayım),51.5022386631599,-0.2667924332555167
Tekdüze (sayım),51.51985781374942,-0.26287365536694507
Tekdüze (sayım),51.54625627562167,-0.2496564359088258
Tekdüze (sayım),51.592717128219576,-0.2477671256433529
Tekdüze (sayım),51.39487269156002,-0.24106625018544786
Tekdüze (sayım),51.4561345077224,-0.2382394936076638
Tekdüze (sayım),51.49238286552905,-0.22443075611183025
Tekdüze (sayım),51.509228906918906,-0.22145591250046415
Tekdüze (sayım),51.55538473368967,-0.2184667898140739
Tekdüze (sayım),51.58213999370562,-0.2195229698942205
Tekdüze (sayım),51.52691908494411,-0.20522377624237254
Tekdüze (sayım),51.36569795464899,-0.19564250950734624
Tekdüze (sayım),51.41909787907606,-0.1981331156798462
Tekdüze (sayım),51.45608551569716,-0.19492566957738686
Tekdüze (sayım),51.48210259717015,-0.19551883867788003
Tekdüze (sayım),51.492187319905604,-0.1935935987855055
Tekdüze (sayım),51.510542869484944,-0.19281011165202602
Tekdüze (sayım),51.54548154921832,-0.1925448218480022
Tekdüze (sayım),51.600421732713095,-0.19066123718056854
Tekdüze (sayım),51.65177053834169,-0.1855309147497302
Tekdüze (sayım),51.39183583782956,-0.1831667797743152
Tekdüze (sayım),51.517661096100554,-0.1758247506679532
Tekdüze (sayım),51.615425007054974,-0.17605830606466025
Tekdüze (sayım),51.42791734898741,-0.16705754308481827
Tekdüze (sayım),51.46375665474468,-0.16708982811291273
Tekdüze (sayım),51.49106190274415,-0.1648543843069029
Tekdüze (sayım),51.55324576320794,-0.16348632337180238
Tekdüze (sayım),51.36516751041621,-0.15516117768443677
Tekdüze (sayım),51.44501552551486,-0.15193399985990466
Tekdüze (sayım),51.516146952727865,-0.14899468487105266
Tekdüze (sayım),51.538541864421774,-0.14409527817868706
Tekdüze (sayım),51.60767463977241,-0.14698955109951745
Tekdüze (sayım),51.409906132288974,-0.1384418468686548
Tekdüze (sayım),51.49103340651934,-0.1371934499023208
Tekdüze (sayım),51.51070779514405,-0.13355086172769645
Tekdüze (sayım),51.51582195870886,-0.13470619770347758
Tekdüze (sayım),51.56450593494086,-0.13480753808254273
Tekdüze (sayım),51.63380096732833,-0.12955072967723327
Tekdüze (sayım),51.436503522850465,-0.12570718996154687
Tekdüze (sayım),51.46376476255496,-0.12183850574481238
Tekdüze (sayım),51.48220817100444,-0.12368941413302924
Tekdüze (sayım),51.49998675589787,-0.12119137087231832
Tekdüze (sayım),51.51674734004121,-0.12242578694797664
Tekdüze (sayım),51.527156489881584,-0.1213795737474101
Tekdüze (sayım),51.55392439289895,-0.11814173095394165
Tekdüze (sayım),51.33008240697189,-0.11289563735324702
Tekdüze (sayım),51.390840764294744,-0.11131870607993775
Tekdüze (sayım),51.53464387726607,-0.10578108638549287
Tekdüze (sayım),51.570651615035445,-0.10417851212375241
Tekdüze (sayım),51.59715993865004,-0.10577170739597727
Tekdüze (sayım),51.61605794991132,-0.10403984281414312
Tekdüze (sayım),51.373319393996674,-0.09882729281669093
Tekdüze (sayım),51.42741230435517,-0.09639638893858575
Tekdüze (sayım),51.47158924020955,-0.09334553892823019
Tekdüze (sayım),51.49030515555435,-0.09435793910282579
Tekdüze (sayım),51.4988619595326,-0.0938939584309207
Tekdüze (sayım),51.5158359011054,-0.09146760154679692
Tekdüze (sayım),51.65207693495597,-0.08316819725276497
Tekdüze (sayım),51.52549218340402,-0.07805634993370712
Tekdüze (sayım),51.55160955972166,-0.07535367687577628
Tekdüze (sayım),51.587982841588335,-0.07354148512693261
Tekdüze (sayım),51.606108790393534,-0.07020173436653002
Tekdüze (sayım),51.39083485968489,-0.06833893120509936
Tekdüze (sayım),51.472142874819596,-0.06682075723877999
Tekdüze (sayım),51.497674400717,-0.06456406023155586
Tekdüze (sayım),51.516922809234096,-0.06280482234452481
Tekdüze (sayım),51.56153278910355,-0.05967398890562127
Tekdüze (sayım),51.62469105972392,-0.05921400383575127
Tekdüze (sayım),51.416078764720865,-0.053519038235884706
Tekdüze (sayım),51.43589844370324,-0.05210908094143574
Tekdüze (sayım),51.524957869462604,-0.04789260458511994
Tekdüze (sayım),51.54383947043979,-0.0484667992875903
Tekdüze (sayım),51.649486430264574,-0.04446364776859002
Tekdüze (sayım),51.66901960451224,-0.04146306289865644
