method,n_stations,gini,cv,max_share_pct,top10pct_share_pct
Mevcut karakollar,112,0.7145056647289078,1.4784124086922206,5.294941611994912,43.62207523976959
p-Median,112,0.21790623449435514,0.3959679822745619,1.988908423023598,18.006660663493562
K-Means (ağırlıklı),112,0.2715854209163619,0.5022720719657213,2.6070923202264056,19.79671397738805
En yoğun p hücre,112,0.35587021379668027,0.9406217730383813,5.993971813672942,32.70728813801581
