scheme,lat,lon
Tekdüze (sayım),41.976682080930644,-87.90354038139965
Tekdüze (sayım),41.97722598128983,-87.83984853906883
Tekdüze (sayım),41.94059251002481,-87.81389031523722
Tekdüze (sayım),41.923234241729176,-87.78854886585205
Tekdüze (sayım),41.98472766885611,-87.78995447846461
Tekdüze (sayım),41.788968030425465,-87.77776794149239
Tekdüze (sayım),41.95002376537996,-87.77863281203099
Tekdüze (sayım),41.88646226911023,-87.7653468975412
Tekdüze (sayım),41.91160418523009,-87.76441551091237
Tekdüze (sayım),41.968847238820466,-87.76517462421931
Tekdüze (sayım),41.87894186632485,-87.75295433898975
Tekdüze (sayım),41.89589517199181,-87.75376883724283
Tekdüze (sayım),41.93190903684066,-87.75452227497397
Tekdüze (sayım),41.752934902897536,-87.74075698288995
Tekdüze (sayım),41.79760347320964,-87.73961291219315
Tekdüze (sayım),41.91244891244732,-87.7428233379845
Tekdüze (sayım),41.95147851755121,-87.74384796189442
Tekdüze (sayım),41.77927391401375,-87.72748678996021
Tekdüze (sayım),41.806097477880314,-87.72707382543535
Tekdüze (sayım),41.84234255075992,-87.72783839788745
Tekdüze (sayım),41.86010533043172,-87.72830586367843
Tekdüze (sayım),41.8785730870809,-87.72824199186613
Tekdüze (sayım),41.90439283278756,-87.72895711708699
Tekdüze (sayım),41.932991133999025,-87.72881263811148
Tekdüze (sayım),41.86894202553928,-87.71777957647218
Tekdüze (sayım),41.89571455576606,-87.71738815589806
Tekdüze (sayım),41.91426556348221,-87.71674888862283
Tekdüze (sayım),41.96799319343922,-87.71779685237915
Tekdüze (sayım),41.98521150772191,-87.71535011090245
Tekdüze (sayım),41.69834084970851,-87.70149286671251
Tekdüze (sayım),41.74304888328845,-87.70423837088171
Tekdüze (sayım),41.77909291210723,-87.70287333259937
Tekdüze (sayım),41.79637616276651,-87.70382521192941
Tekdüze (sayım),41.84339854511908,-87.70503349815144
Tekdüze (sayım),41.86068062697527,-87.70713055291847
Tekdüze (sayım),41.879214619471114,-87.70491001102461
Tekdüze (sayım),41.94039161297119,-87.70710523459908
Tekdüze (sayım),41.77078071220113,-87.69030183956308
Tekdüze (sayım),41.81520600528103,-87.6933122558009
Tekdüze (sayım),41.851867823726764,-87.69408716297819
Tekdüze (sayım),41.870016191118516,-87.69474658443686
Tekdüze (sayım),41.90487830135501,-87.69328782296341
Tekdüze (sayım),41.92247925268448,-87.69406361613737
Tekdüze (sayım),41.96822725183964,-87.69150433072839
Tekdüze (sayım),41.99584153413713,-87.69384500026467
Tekdüze (sayım),42.013109026409126,-87.69342303921346
Tekdüze (sayım),41.79715556251956,-87.67976968995254
Tekdüze (sayım),41.87888113156872,-87.68192570435048
Tekdüze (sayım),41.89649352969919,-87.68119021187516
Tekdüze (sayım),41.950675121179316,-87.68162892838077
Tekdüze (sayım),41.69034803977339,-87.66679767039332
Tekdüze (sayım),41.75161389904591,-87.66640590582615
Tekdüze (sayım),41.77037627218822,-87.66718684855385
Tekdüze (sayım),41.77857747622725,-87.66693629287136
Tekdüze (sayım),41.80679046026965,-87.66784276147344
Tekdüze (sayım),41.83381025208079,-87.6686844467594
Tekdüze (sayım),41.85863265624031,-87.66746453779939
Tekdüze (sayım),41.90525686049532,-87.66938814428312
